ما فِيي عيش بِدونك!‌,I can't live without you!,,,,,,,,,316
برّا,outside;abroad,,adverb,,,,,,,317
المنْظر برّا الشِّبّاك حِلو.‌,The view outside the window is beautiful.,,,,,,,,,318
مُعْظم اللِّبْناِنية عايْشين برّا.‌,Most Lebanese live abroad.,,,,,,,,,319
برّاد,refrigerator,,noun,,,,,,,320
حطّيْت الحليب بِالبرّاد.‌,I put the milk in the refrigerator.,,,,,,,,,321
برِد,cold;coolness,,noun (no plural),,,,,,,322
هوْل التّْياب بْيِحْموا مِن البرِد.‌,These clothes protect against the cold.,,,,,,,,,323
برّد,cool;make cold,,verb,imperfect,يْبرِّد,,,,,324
الهَوا لح يْبرِّد الأوضة.‌,The air will cool the room.,,,,,,,,,325
برْدان,cold;cool,,adjective,,,,,,,326
"برْدان، عطيني الجّاكيْتّ بْليز.‌",I'm cold. Give me the jacket;please.,,,,,,,,,327
برم,turn,,verb,imperfect,يِبْرُم,,,,,328
برم لَيْشوف مين وَراه.‌,He turned to see who is behind him.,,,,,,,,,329
بُرْنَيْطة,hat,,noun,plural,بْرانيط,,,,,330
بْتِلْبُس بُرْنَيْطة عَ راسا.‌,She wears a hat on her head.,,,,,,,,,331
بُرودِة,cold;coolness,,noun (no plural),,,,,,,332
هوْل التّْياب بْيِحْموا مِن البُرودِة.‌,These clothes protect against the cold.,,,,,,,,,333
برّي,wild,,adjective,,,,,,,334
ما تِلْعب مع الحَيَوانات البرّية.‌,Don't play with wild animals.,,,,,,,,,335
بْريطانْيا,Great Britain,,noun (no plural),,,,,,,336
بْيِحْكوا إنْكْليزي بِبْريطانْيا‌,They speak English in Great Britain.,,,,,,,,,337
بسّ,but;but;rather;when,,conjunction,,,,,,,338
نبّشِت مْنيح بسّ ما لْقيت مفاتيحي.‌,I searched hard but didn't find my keys.,,,,,,,,,339
"ما سافر بِالسِّيّارة، بسّ بِالتّْريْن.‌",He didn't travel by car but by train.,,,,,,,,,340
أكلِت العشا بسّ رْجِعِت عالبيْت.‌,I ate dinner when I got home.,,,,,,,,,341
